,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1,20MICRONS,EQ,103.6,112.45,103.6,110.15,109.5,103.55,607895,65934436.95,12-SEP-2022,7255,INE144J01027
2,21STCENMGM,EQ,26.0,26.95,26.0,26.7,26.8,26.5,16655,438493.8,12-SEP-2022,144,INE253B01015
6,3IINFOLTD,EQ,53.3,54.2,52.2,52.55,52.5,52.55,2243103,119630219.65,12-SEP-2022,11543,INE748C01038
7,3MINDIA,EQ,22839.95,22925.0,22725.05,22806.15,22795.0,22839.95,6215,141967955.3,12-SEP-2022,1338,INE470A01017
8,3PLAND,EQ,18.25,18.7,17.15,17.5,17.5,18.0,23437,417065.4,12-SEP-2022,105,INE105C01023
12,5PAISA,EQ,351.25,355.0,348.0,352.4,353.0,346.1,23689,8346633.1,12-SEP-2022,938,INE618L01018
15,63MOONS,EQ,182.5,184.85,167.05,178.4,178.0,181.15,66439,12008078.95,12-SEP-2022,1555,INE111B01023
27,A2ZINFRA,EQ,12.7,12.85,12.5,12.55,12.55,12.6,226643,2856943.85,12-SEP-2022,467,INE619I01012
29,AAKASH,EQ,14.6,14.6,14.3,14.6,14.6,13.95,229819,3352141.1,12-SEP-2022,378,INE087Z01024
30,AAREYDRUGS,EQ,40.4,41.95,40.4,41.05,41.2,41.15,33801,1397490.9,12-SEP-2022,429,INE198H01019
31,AARON,EQ,189.95,189.95,183.0,185.85,186.95,179.35,22560,4202357.95,12-SEP-2022,969,INE721Z01010
32,AARTIDRUGS,EQ,469.75,471.2,462.0,464.85,466.0,469.45,129233,60245180.55,12-SEP-2022,4965,INE767A01016
33,AARTIIND,EQ,861.1,894.7,861.0,888.65,888.0,859.8,1243283,1097421409.3,12-SEP-2022,41582,INE769A01020
34,AARTISURF,EQ,830.0,844.95,823.0,825.7,827.75,828.6,21659,17984170.0,12-SEP-2022,1602,INE09EO01013
35,AARVEEDEN,EQ,26.6,26.6,26.0,26.2,26.2,25.6,6209,162689.5,12-SEP-2022,90,INE273D01019
36,AARVI,EQ,109.6,111.55,107.2,108.8,107.35,109.6,21647,2373696.85,12-SEP-2022,335,INE754X01016
37,AAVAS,EQ,2320.0,2339.35,2292.2,2308.15,2307.0,2313.25,48600,112480365.35,12-SEP-2022,7046,INE216P01012
38,ABAN,EQ,54.6,62.7,54.6,59.25,58.9,54.5,2195365,129794929.25,12-SEP-2022,13081,INE421A01028
39,ABB,EQ,3330.0,3350.0,3310.25,3329.6,3343.0,3314.65,179592,598544063.9,12-SEP-2022,23288,INE117A01022
40,ABBOTINDIA,EQ,18276.4,18350.0,18090.0,18139.95,18149.0,18276.4,15525,282408604.05,12-SEP-2022,4264,INE358A01014
41,ABCAPITAL,EQ,115.1,119.85,115.1,118.85,118.6,115.1,6280292,742465814.5,12-SEP-2022,36597,INE674K01013
