,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1,20MICRONS,EQ,89.1,94.25,88.55,93.25,93.65,88.55,531579,48950397.6,11-APR-2022,6895,INE144J01027
2,21STCENMGM,EQ,30.2,30.2,29.6,30.15,30.2,29.65,16674,502282.5,11-APR-2022,312,INE253B01015
3,3IINFOLTD,EQ,68.95,69.9,65.4,66.1,66.15,68.75,1209942,80831261.8,11-APR-2022,11920,INE748C01038
4,3MINDIA,EQ,21303.0,21550.0,21299.35,21493.95,21400.0,21440.7,2125,45601465.5,11-APR-2022,847,INE470A01017
5,3PLAND,EQ,20.4,20.6,18.1,20.2,20.05,18.95,44966,890664.85,11-APR-2022,653,INE105C01023
8,5PAISA,EQ,381.35,381.45,371.2,376.15,375.0,381.35,38061,14347524.45,11-APR-2022,1285,INE618L01018
17,A2ZINFRA,EQ,12.3,12.4,11.7,12.05,12.2,12.05,417851,5037559.15,11-APR-2022,947,INE619I01012
19,AAKASH,EQ,27.9,28.25,27.25,27.95,27.95,27.1,582000,16153367.3,11-APR-2022,934,INE087Z01024
20,AAREYDRUGS,EQ,47.9,49.0,43.7,46.25,47.3,46.6,139066,6580220.7,11-APR-2022,1385,INE198H01019
21,AARON,EQ,119.1,121.0,115.05,117.2,117.0,119.25,6274,742479.65,11-APR-2022,175,INE721Z01010
22,AARTIDRUGS,EQ,512.0,529.95,512.0,517.55,518.0,512.0,222093,115781597.35,11-APR-2022,7648,INE767A01016
23,AARTIIND,EQ,970.0,975.05,950.65,959.65,960.0,969.65,518505,497585408.0,11-APR-2022,23564,INE769A01020
24,AARTISURF,EQ,981.0,981.0,930.1,941.0,949.0,960.35,23374,22235867.4,11-APR-2022,2646,INE09EO01013
25,AARVEEDEN,EQ,27.45,28.65,26.35,27.95,28.3,27.05,33867,942140.5,11-APR-2022,426,INE273D01019
26,AARVI,EQ,115.0,117.7,115.0,115.7,115.6,112.1,31351,3650998.95,11-APR-2022,374,INE754X01016
27,AAVAS,EQ,2531.75,2594.25,2505.9,2578.1,2567.45,2531.75,63470,162203685.85,11-APR-2022,8418,INE216P01012
28,ABAN,EQ,55.05,58.7,54.55,56.65,56.55,54.55,721264,41188492.15,11-APR-2022,8811,INE421A01028
29,ABB,EQ,2240.0,2257.9,2202.6,2214.8,2218.35,2238.95,178038,397268073.35,11-APR-2022,11997,INE117A01022
30,ABBOTINDIA,EQ,18000.0,18183.4,17950.45,18067.8,18111.05,17999.0,8949,161762324.35,11-APR-2022,3868,INE358A01014
31,ABCAPITAL,EQ,114.35,117.8,113.7,116.35,116.5,113.55,5154885,598289676.05,11-APR-2022,27814,INE674K01013
33,ABFRL,EQ,308.2,312.7,305.0,306.1,305.2,308.4,1585279,487936326.95,11-APR-2022,22030,INE647O01011
